score;content
1;Perbaiki lagi sering eror koneksi, dan trasfer transaksi berhasil tapi tidak ada resi yang bisa di lihat binggung berhasil sampai tujuan atau tidak. Sering eror harus daftar lagi.
1;Keseringan aktivasi ulang, keseringan ngurusnya B134bae.. giliran sudah bener kelangsungan sehari keterangannya tidak ada koneksi.. kan aneh.. Perbaikan
1;Sering eror, sok paling aman, kesalahan sistem malah terblokir, uangnyangkut banyak! Sekelas perusahaan gede gak becus!
3;Sering banget kena blokir,bisa ngak di maksimalkan layanan, jangan dikit-dikit blokir
3;Bagus tapi perbaiki lagi supaya klo ganti kartu gak keblokir... setiap kartu keluar pasti keblokir
3;Sejujurnya sangat membantu, tetapi sayang tidak dilengkapi fitur keluhan atau komplain di aplikasinya. Sudah beberapa x transaksi pembelian atau pembayaran diganggu error tetapi saldo terpotong. Tolong diperhatikan hal ini
5;Lebih mudah transfer uang
5;Oke
5;Bagus
5;Tampilan bagus, mudah di pahami, sangat membantu untuk transaksi
1;Aplikasi yng tidak bagus. Kok masalah jaringan trus pada hal jaringan bagus
5;Baik
5;Bagus cuma sering eror
4;Bagus 👍👍👍
1;Mbangkingnya sering bermasalah
5;Aplikasi sangat membantu fitur sangat lengkap...
5;memudahkan transaksi dimanapun,ok
5;Sangat membantu dan memudahkan dalam bertransaksi, serta aman dannyaman 👍
5;Aplikasinya keren untuk sekelas BUMD. Warna menarik dan ramah Terhadap pengelihatan. Serta fitur fitur mudah diengerti. Walau terkadang sering ribet OTP. Tolong dong untung masalah mbanking terblokir bisa via telpon call center saja supaya lebih praktis. Terimakasih
1;Satu dulu.. Masih gangguan..
5;Aplikasi ini sangat membantu kemudahan transaksi. Semoga makin lancar jaya ☕
5;BSB mobile sangat membantu dalam bertransaksi dan aman
1;Mudah sensitif serta bilangnay gangguan internet tp padahal lancar aja. Aplikasinya kurang wort it mana motongnay udah besar LG perlu perbaikan deh BSB
5;Bagus cepat dan mempermudah transaksi di mana saja
1;Udah banyak update, kirain udah berubah. Ternyata tambah parah. Scan qris katanya gagal, tapi saldo kepotong.
4;Saya melakukan pembelian/pembayaran pulsa, saldo terpotong tetapi pulsa tidak masuk. Tolong kebijakan anda ! Kalau mau di ss bukti transaksi saya kirimkan.
1;Kalau ada rating stengah pengen saya kasih untuk aplikasi ini. baru 1 Minggu buka blokir, kemarin update aplikasi, hari ini mau login, kembali terulang lagi, perintah aktivasi ulang yg ujungnya masih Terblokir lagi. 1 bulan ini sudah mau ke 3x ke CS hanya untuk buka blokir tanpa ada kesalahan dari saya. Tolong dong pihak pengembang aplikasinya ini gimana 😡
3;Secara default aplikasi ini membutuhkan perizinan akses ke kamera, kontak, lokasi, dan panggilan telepon. Agak gimana jadinya🥶
3;Sinyal bagus kok susah masuk katanya jaringan anda gak stabil
1;Aplikasi bank rasa koperasi...
4;Kenapa koneksinya gagal mulu login... Keknya apk nik belum siap ya
1;Padhal jaringan bagus tapi selalu lama setiap masuk aplikasi
2;Uangelllll
1;Aplikasinya jelek kok nggak bisa login alasan jaringan padahal jaringan lancar buka yang lain juga lancar Uda coba pake wifi tetap aja nggak bisa login alasan jaringan,kepada pihak bank Sumsel Babel tolong di perbaiki aplikasinya
1;Sering eror
5;Oke
1;Eror mulu 👎
1;Ribet bet anying, aktivasi ulang terus, mana mau aktivasi ulang masa ke banknya dulu
1;lenyap sudah 200 ribuku waktu tf td, tp sttus eror, saldo ku berkurang, uangnya ga masuk di tf, astagfirullah ya allah😭
1;baru satu minggu yang lalu ke cs buat aktivasi ulang, padahal sudah lama dibuat mbanking, masa harus aktivasi ulang lagi
4;Kenapa selalu minta aktivasi terus
1;Ini kok bisa eror gini isi pulsa lewat m-banking sumsel pulsa nggak masuk tapi saldo berkurang 🤦 tolong lah perbaiki terus ini saldonya bakalan kembali atau pulsanya yang masuk? + Ini kok ke blokir sendiri ya 🤦 sudahlah M-bangkingnya ke blokir ATMnya nggak ada 🥲
5;Semangat sumsel terus perbaiki aplikasinya ke lebih baik dan simple.. klo bisa jgn terlalu banyak OTPnya yaaa...
1;BURUK!!!! mau tf ke atm lain malah ke debit, sttus pending. Harus nunggu 14hr kerja, pelayanan tidak SIGAP. Uangnyangkut tp lama proses. Klo bkn krna gaji di tf kesini, ogahh pake babel!
1;kalo bank masih ecek2 tidak usah mau kelihatan hebat mau mengambil transaksi gaji pegawai asn, perangkat desa, p3k, dll, seminggu ini 2x aku buka blokir aplikasi bsb ini tidak salah apa2.. tidak jelas banget belum ada gajian sudah sering terblokir apa lg sudah gajian ayolah kalau tidak sanggup kasihkan bank negara saja oyy lokak inini, kasihan banget kami ni rakyat kecil hidup di plosok mau ke bank BSB ini butuh 1jam perjalanan belum minyak belum makan kami mau narik setua ini... berpikir kamu ni
3;Coba donk kayak bank lainnya bisa aktivasi m-banking yang keblokir via online. Jadi gak ribet buat orang2 yg suka mageran buat pergi ke bank😂
1;Transaksi malam hari rawan gagal
1;Aplikasi ini sdh 3 x ke blokir cuma gara2 buka simcard. Jadi setelah itu sy putuskan uninstal
5;Semoga sukses sllu
1;Kurang memuaskan Mobile banking sumsel babel, ga ada pemberitahuan saldo masuk ataupun kluar dan stiap kali lepas kartu sd ,pas ingin masuk ke akun di suru aktivasi kembali😇 padahal hp dan nmor terdaftar yg sama, tolong di perbaiki lagi dong pak/ibu yth..terimakasi
4;Sangat membantu
5;mantap 👍
5;So far so good
5;Saya Sangat puas memakai Mbanking
5;Mantap jiwa
1;Ribet tiap transaksi harus pake OTP. Sumsel ini masih banyak Lo daerah yang signalnya jelek bahkan gak ada signal sama sekali. Buka m banking mengandaikan WIFI desa, tapi sayangnya harus pake OTP jadi percuma gak bisa dipake. OTP kan harus ada signal SMS. Coba diperbaiki ke depannya
1;Apk gak di apa-apaiin, jarang di buka.. di buka pas gajian aja.. Tiba2 diblokir GAJELASSSS
5;👍👍👍
5;Terbaik
5;sangat memudahkan untuk transaksi.
1;Dear, tim teknisi bank sumsel babel syariah.. kenapa aplikasi ini mudah sekali terblokir.. masa sih gara gara sinyal harus terblokir, saya mau login ke akun saya dan mau cek saldo.. tapi tiba-tiba terblokir.. tolong lah benerin dulu sistemnya..
5;Mantap
5;Melancarkan transaksi kapanpun dimanapun
5;Sangat membantu sekali dalam transaksi
3;Pas masukin kode OTP langsung SMS, malah terblokir.
5;Sangat sangattt membantu & praktis
5;Sangat membantu
3;Ngak bisa bayar listrik ya?
5;Mantaapp lurrr
5;Aplikasi yang membantu transaksi saya.bisa isi pulsa, top up go pay dll. Bank sumsel babel memang top👍
5;Mantep, lebih mudah dngan adanya BI fast skrng,
5;Mudah,lengkap,gampang,seluruh kebutuhan transaksi saya ada dlm 1 aplikasi,,mantappp
1;Jujur ya saya sangat kecewa. Baru pertama kali menggunakan bi fast dan transfer ke bank lain selain sumsel. Dan yg terjadi transfer gagal tapi saldo terpotong. Saya sudah ngadu ke pihak sumsel malah di suruh nunggu 14 hari kerja. Tolong ya pihak sumsel babel kembalikan uang saya saldo saya yg terpotong itu !!!
5;Aplikasinya mudah di gunakan, fiturnya simpel, prosesnya mudah, sangat membantu
5;Mantap, paten kali
5;Terbaikkk
2;kenapa saya tadi beli pulsa lewat m bangking ini kenapa tidak masuk ke nomor saya tetapi malah berkurang saldonya tolong perbaiki dan ada bacaan pesan erorr itu maksudnya gimana ya kak tolong jelasin dong udh di tanya lewat email tapi ga di balas
5;Aplikasi ini sangat membantu dan sangat memudahkan ketika melakukan berbagai transaksi tanpa harus repot keluar rumah
5;Sangat memuaskan
5;Baik
5;Sejauh berjalan lancar
5;aplikasinya luar biasa mantap
5;Memudahkan transaksi
5;sepri
5;Wandi
5;Nice
5;Bank andalan gua dalam bertransaksi.
5;Dedi setiawan
5;AMBAR SUTRA ASIH
5;mempermudah dalam bertransaksi, terima kasih bank sumsel babel
5;MBankingnya semakin membaik..👍👍
5;Sangat baik
5;Sangat memuaskan dan sangat mudah digunakan
5;Oke
5;👍
5;Sangat mudah digunakan dan memuaskan...BSB MANTAB...! 👍
5;BSB mantab
5;Sangat memuaskan, lebih mudah dalam melakukan transaksi
5;Bagus dan recomendasi
5;Sangat bagus dan memudahkan utk bertransaksi
5;MEMPERMUDAH TRANSAKSI
5;sudah improve
1;Ini udah kesekian kalinya tiba tiba di suruh aktivasi dan sudah isi kode aktivasi tiba tiba keblokir... Bukannya mempermudah ini malah jadi ribet.. Bolak balik ke bank jadinya bukannya mempermudah malah bkin ribet...
5;Sangat aman sekali bank sumsel ini menurut ku wong palembang
1;Aplikasi Bobrok dan TOLOL Sekelas Bank Aplikasi kayak odong odong. Login Ribet, transfer ribet, Aktivasi selalu gagal, Malu ke wong palembang Aplikasi super letoy.
5;Bagus
1;Aplikasinya rusak ini kemarinkan mbanking saya ke blokir, terus saya ke cabang terdekat sudah di buka kembali, tapi khusus di hp saya ini gak bisa login pake Bank sumsel babel padahal sebelum ke blokir aman aman aja, apakah imei hp ini ke blokir juga? Soalnya cuman di hp saya ini ga bisa di buka (Xiaomi Poco F3), pake hp lain bisa aneh
1;Sering eror dan sangat merugikan saya, membeli pulsa lewat aplikasi ini , tulisannya eror tapi uang terpotong dan pulsa tidak masuk sama sekali, dua kali mencoba gagal ternyata terpotong, 200ribu uang hilang sia sia plus biaya admin .... jadi kalau uang itu terpotong dari tabungan trus uangnya kemana? Pelayanannya kok malah merugikan nasabah
1;"Applikasi, baru berape hari aktivasi ke bank gara2 keblokir, lah minta aktivasi ulang pulik dk pacak log in, pas lah aktivasi ulang malah muncul keterangan ""aktivasi tidak tersedia"" nyusah ktak"
1;APLIKASI TERTINGGAL JAUH SAMA BANK BANK LAIN MASA HARUS DIMINTA TRUS KODE AKTIVASI DAN MNT LSG KE CS BANK UTK AKTIVASINYA UTK APLIKASI BANK SUMSES BABEL SDH TERTINGGAL SANGAT JAUH SAMA BANK BANK LAINNYA
4;"Knapa setiap update os Samsung ga bisa aktivasi, muncul peringatan ""perangkat tidak dikenali akun di blokir"" padahal tidak ganti hp, sudah 2x bolak balik bank buat aktivasi ulang, tolong di perbaiki min,"
1;Aplikasi yang saya sarankan untuk tidak digunakan, pada saat transaksi salah, saldo terpotong dan tidak dikembalikan, Itupun sudah 2 kali kejadian. kecuali Anda harus ke bank, Telpon ke pengaduan malahan sibuk melulu. Ketika aplikasi mobile lain lebih canggih, yang ini malah ketinggalan. Lebih baik manual saja. Aplikasi yang sangat MERUGIKAN.
1;Mohon perbaiki eror sistem sering terblokir karena jaringan
5;Fitur lengkap
5;Ok
1;sangat buruk tiap mau login harus aktivasi ulang kalo sudah pasti terblokir ya otomatis harus ke bank lagi dan ini sudah yang ke 2 kalinya
5;Kenapa Sumsel mobile saya gak bisa masuk. Minta aktivasinya
1;Sangat buruk !!!!!
1;Aplikasi Sanga buruk,jelek Bukanya mempermudah Malah menyusahkan Pas mau login langsung muncul notifikasi silahkan aktivasi ulang Pas aktivitas ulang langsung muncul notifikasi user di Blokir Transfer antar bank susah Biaya admin yg sangat mahal Tampilan menu kelihatan aplikasi murahan
1;Aplikasi tolol, transaksi gagal tapi saldo malah kepotong
5;Saya kesulitan masuk ke akun saya,mohon bantuannya
3;Kasih 3 soalnya aplikasi suka lelet..trus terlalu banyak OTP kebanyak null kalau untuk org udh tua ribet pakeknya..semoga bisa lebih berkembang lg dk lebih baik lg.
1;baru 3 hari buka blokir, sekarang sudah terblokir lagi, mohon diperbaiki ada apa ini???? atau tutup saja aplikasi ini
1;sistem aplikasinya jelek
5;Excellent
1;Eror terus
3;knp sering eror ya
1;Aplikasi yang sangat menyusahkan, setiap kali mau di buka minta aktivasi terus Setelah aktivasi, malah perangkat tidak dikenali. Padahal sudah benar semua datanya.
1;Saya beli pulsa di apk ini.pulsa engga ada malah saldo saya yg berkurang
3;emosi saya mau TF aja ribet dan susah kode otp berulang kali gak ad SMS masuknya.
1;Capek aktivasi ulang terus 😅
1;Transfernya gagal trus ??? Alasan Cek koneksi internet anda? Padahal wifi saya kencang banget Apk sekelas pemerintah memang tidak berguna , dibuat asal jadi 👎
2;128 vlink timeout
1;Rewel sekali, selalu null null null. Selalu masalah koneksi jaringan, giliran aplikasi lain jaringan aman lancar. Perbaikilah.
1;Sangat perlu ditingkatkan. Layanan banking masih sering eror & kurang efisien
5;semoga fitur tarik tunai tanpa kartunya di fix
1;aplikasi ribet, mending bank bumn aja atau bca
1;"aplikasi selalu minta aktivasi ulang, giliran di aktivasi masih ga bisa juga walaupun kode sdh masuk sms, aplikasi bener"" tidak user friendly, so bad"
1;Sekarang mudah banget ke blokir, gak tau kenapa, padahal gak pindah device. Tolong diperbaiki.! Masa tiap minggu mesti ke Bank Sumsel untuk buka blokir!
1;Pelayanan tak maksimal
3;kebetulan saya mahasiswa yang memakai bank ini, kenapa tidak bisa login ya?
1;Aplikasi tolol gak guna
2;Masa iya baru 1 bulan bikin id pengguna udah gak bisa login. Baru 1 bulan loh saya pake. Cape bolak balik bank, mana saya jauh dari desa. Butuh 1 jam ke PKP.
1;Baru pertama kali pakai aplikasi ini sih tapi daftarnya susah banget padah punya buku tabungan punya atm dll, mau aktivasi aja gak bisa keluar tulisan tidak tersedia lah gimana ini bank lain aja gampang banget.
1;Kenapa loading mulu sih, saat mau transfer ke bank lain melalui transfer BI FAST? Bikin ribet, klo tidak mau rugi hapus aj tuh pilihan!
1;ya ampun, dikit² keluar sendiri terus aktif ulang udah aktivis malah gabisa, dikit² keblokir anehh..!
5;Aplikasi yang bagus
5;Mantap
5;Good
3;Aplkasiny skrg buat susah, gak d apa2in gak bsa masuk trs harus aktvasi, pas d aktvasi malah katanya d blokir. Sudah 2 kali seperti ini trs
1;Apk terburuk. Bikin repot pengguna, mudh banget keblokir. Biaya admin yang mahal bet dah 👎🏻 kalau bukan karna alasan kerja gak akan pakai mbanking in. Bikin susah bukan mempermudah.
1;Sumpah demi apapun perkara mau TF aja segala pesan eror terus menerus. Mempersulit
1;Minta aktivasi trus msuk aja susah😏 gagal trosss
5;BSB 👉 OK 👍👍👍
1;Mau transfer ke rekening baru aja susah minta ampun
5;"Kenapa saya tidak bisa menggunakan aplikasi ini lagi sudah satu minggu yg lewat padahal sdh d uninstal trus d instal ulang, dr BSB jg ga ada perbarui aplikasi. Tolong dong segera d perbaiki, Ngbug udah berminggu"""
1;Gaje bgt ni apk
1;Saya kurang tahu apa yang terjadi, tapi rasanya bsb MB makin bobrok? Saya melakukan transaksi pembelian voucher pulsa tapi di notif SMS eror, saldo terpotong, tapi pulsa sama sekali tak masuk, saya cros cek transaksi pembelian voucher pulsa gagal, lantas kemana saldo itu pergi?
2;saya harap kendala sepele seperti mbanking keblokir karna aktivasi ulang mungkin bisa dilakukan dengan online, disini sangat jauh untuk kekantor bank sumselbabel, tolong dipermudah, jaman sekarang serba online.
5;Smga amanah
1;Sulit digunakan..
5;Aplikasinya mudah di mengerti Ulnya juga simpel Dan pembukaan rekening juga secara online ,semoga ada gratis transfer dan top up e wallet,Dan Untuk fitur top up e walletnya di lengkapi min untuk selebihnya bagus
1;Bener-bener aplikasi tidak berguna. Padahal bank daerah loh. Melibatkan sumatra selatan dan bangka belitung, masak iya sih 2 provinsi besar dengan keuangan yang besar juga, tapi aplikasi Mobile Bankingnya kayak gini. Dikit2 keluar, dikit2 keluar, yaelah....parah Mending tutup aja aplikasi kalian.
5;Maaf saya uninstal, ngeri ada APK yg sering masuk ke WA, mungkin Bank Sumsel Babel bisa proteksi yg ini
1;Selalu mintak aktivasi ulang terus, sudah dilakukan aktivasi ulang tapi tetap gk bisa!!! Bikin kesal
1;"Selalu dan selalu terkendala ""Aktivasi tidak tersedia saat ini"" ribet amat ya 😃"
1;Berat
1;Minta aktivasi ulang, begitu di aktivasi tp katanya aktivasi tidak tersedia??? Ayo lah di perbaiki m banking Sumsel ini...
1;pas mau buka mbanking disuruh aktivasi lagi, pas mau aktivasi ada peringatan mbanking di blokirr
1;Sering banget error ketika transaksi pake bank ini, udah bbrapa x error ketika transaksi,baik transaksi menggunakan QRIS maupun tarik tunai, saldo berkurang uangnya gk keluar..trus repot urusannya hrus lapor dlu ke kantornya,jauh banget kualitasnya sama bank2 yg lain bnyk minusnya
1;Apa yg mau sy sampaikan sdh byk yg menyampaikan itulah ungkapan kekecewaan sy,hanya sy pke utk rek gaji stlah gaji masuk lsg sy tf ke rek sy bank lain
1;Ntahlah kesel sama Sumsel nih
1;Aplikasinya sangat buruk tolong tingkatkan lgi login susah sedikit² teblokir aktivikasi ulang trus gak jelas emang sangat buruk Tolong aplikasinya di tingkatkan lagi sudah sering saldo saya terpotong tpi pulsanya gak masuk, sangat merugikan
2;Kenapa kek gini ya apknya padahal tabungn gak dipakek kok saldonya ngurang sih
2;Suka kesel, saat dibutuhkan selalu ada saja kendalanya. Selalu minta aktivasi ulang, apalagi kondisi diluar sumsel. Sangat merepotkan
2;Knp app ini selalu mnta aktivasi ulang.pas coba aktivasi ulang pake no kartu padahal sdh bener no ny msh dk bisa. Coba aktivasi pke norek no.hp dk tdaftar padahal daftar kemaren pke no ini krn kode aktivasiny dh masuk k sms no ini tp tetep tdk bisa.gaji masuknya lewat norek bsb dan sy jg slalu transaksi pke app ini dari dulu.tp knpa sekarang aplikasinya mengecewakan.Jd harus ke bank bsb untuk mnta aktivasi ulang.padahal aplikasi ini dibuat untuk mmpermudah kok ya ini spt dipersulit.mohon dibantu
1;Dari 3 mbanking bank, cuma bank ini kualitas mbankingnya terburuk
1;Eroor trus pdahal penting sekali
1;Aplikasi error' Mulu buka 2 kali mintak registrasi ulang perbaiki lagi ini aplikasi jgn tangug2 kalo mau berkreasi
1;Top up dana lewat aplikasi bsb mobile saldonya sdh d potong adm jugo d potong malah gak masuk di dana, rugi dong yg benar aja
5;tidak bisa log n. mohon diperbaiki.
1;Kenapa tidak bisa di login, password dan username udah benar pas mau login di suruh aktivasi ulang gimana ini maksudnya ya
2;suka eror
5;Jelek
1;Bug
5;Sekarang fitur bsb sudah canggih, the best pokokny apalagi ada BI FAST
5;Sumsel babel thebest
5;Trimakasi bosku
1;Tidak bisa aktivasi
1;Susah banget mau aktivasi ☹😩
1;disaat terjadi eror transfer, saldo di ATM terpotong, dan saat liat bukti transfer malah tidak ada tolong kembalikan luang kami bgst
