,score,content,case_folding,clean,filtering,tokenize,stopword,stemmer,normalizing
10,1,"3x benerin banking Atm di wilayah kami,, Langka Mbanking baru buat 1 hari Besoknya sudah eror Begitu seterusnya Pengaduan via tlp tidak ada respon Kecewa banget pelayanan yg sangat buruk","3x benerin banking atm di wilayah kami,, langka mbanking baru buat 1 hari besoknya sudah eror begitu seterusnya pengaduan via tlp tidak ada respon kecewa banget pelayanan yg sangat buruk",  benerin banking atm di wilayah kami   langka mbanking baru buat   hari besoknya sudah eror begitu seterusnya pengaduan via tlp tidak ada respon kecewa banget pelayanan yg sangat buruk,  benerin banking atm di wilayah kami   langka mbanking baru buat   hari besoknya sudah eror begitu seterusnya pengaduan via tlp tidak ada respon kecewa banget pelayanan yg sangat buruk,"['benerin', 'banking', 'atm', 'di', 'wilayah', 'kami', 'langka', 'mbanking', 'baru', 'buat', 'hari', 'besoknya', 'sudah', 'eror', 'begitu', 'seterusnya', 'pengaduan', 'via', 'tlp', 'tidak', 'ada', 'respon', 'kecewa', 'banget', 'pelayanan', 'yg', 'sangat', 'buruk']","['benerin', 'banking', 'atm', '', 'wilayah', '', 'langka', 'mbanking', 'baru', 'buat', 'hari', 'besoknya', '', 'eror', '', '', 'pengaduan', 'via', 'tlp', '', '', 'respon', 'kecewa', 'banget', 'pelayanan', 'yg', 'sangat', 'buruk']","['benerin', 'banking', 'atm', '', 'wilayah', '', 'langka', 'mbanking', 'baru', 'buat', 'hari', 'besok', '', 'eror', '', '', 'adu', 'via', 'tlp', '', '', 'respon', 'kecewa', 'banget', 'layan', 'yg', 'sangat', 'buruk']",benerin banking atm  wilayah  langka mbanking baru buat hari besok  eror   adu via telpon   respon kecewa banget layan yang sangat buruk
11,1,"Harus aktivasi ulang terus karena restart perangkat, kartu atm expired dan kosong terus stok kartu di cabang","harus aktivasi ulang terus karena restart perangkat, kartu atm expired dan kosong terus stok kartu di cabang",harus aktivasi ulang terus karena restart perangkat  kartu atm expired dan kosong terus stok kartu di cabang,harus aktivasi ulang terus karena restart perangkat  kartu atm expired dan kosong terus stok kartu di cabang,"['harus', 'aktivasi', 'ulang', 'terus', 'karena', 'restart', 'perangkat', 'kartu', 'atm', 'expired', 'dan', 'kosong', 'terus', 'stok', 'kartu', 'di', 'cabang']","['', 'aktivasi', 'ulang', 'terus', '', 'restart', 'perangkat', 'kartu', 'atm', 'expired', '', 'kosong', 'terus', 'stok', 'kartu', '', 'cabang']","['', 'aktivasi', 'ulang', 'terus', '', 'restart', 'perangkat', 'kartu', 'atm', 'expired', '', 'kosong', 'terus', 'stok', 'kartu', '', 'cabang']", aktivasi ulang terus  restart perangkat kartu atm expired  kosong terus stok kartu  cabang
12,3,"Tampilan mudah dipahami, cuman biaya transaksi masih terlalu besar, untuk transaksi sesama bank masih di kenakan tarif, terkadang ribet dg OTP.","tampilan mudah dipahami, cuman biaya transaksi masih terlalu besar, untuk transaksi sesama bank masih di kenakan tarif, terkadang ribet dg otp.",tampilan mudah dipahami  cuman biaya transaksi masih terlalu besar  untuk transaksi sesama bank masih di kenakan tarif  terkadang ribet dg otp,tampilan mudah dipahami  cuman biaya transaksi masih terlalu besar  untuk transaksi sesama bank masih di kenakan tarif  terkadang ribet dg otp,"['tampilan', 'mudah', 'dipahami', 'cuman', 'biaya', 'transaksi', 'masih', 'terlalu', 'besar', 'untuk', 'transaksi', 'sesama', 'bank', 'masih', 'di', 'kenakan', 'tarif', 'terkadang', 'ribet', 'dg', 'otp']","['tampilan', 'mudah', 'dipahami', 'cuman', 'biaya', 'transaksi', '', 'terlalu', 'besar', '', 'transaksi', 'sesama', 'bank', '', '', 'kenakan', 'tarif', 'terkadang', 'ribet', 'dg', 'otp']","['tampil', 'mudah', 'paham', 'cuman', 'biaya', 'transaksi', '', 'terlalu', 'besar', '', 'transaksi', 'sama', 'bank', '', '', 'kena', 'tarif', 'terkadang', 'ribet', 'dg', 'otp']",tampil mudah paham cuman biaya transaksi  terlalu besar  transaksi sama bank   kena tarif terkadang ribet dengan otp
13,2,"Stiap mau buka apk pst sdh terkeluar,,mau masuk katanya tidak dtemukan,,harus bagai mana ini","stiap mau buka apk pst sdh terkeluar,,mau masuk katanya tidak dtemukan,,harus bagai mana ini",stiap mau buka apk pst sdh terkeluar  mau masuk katanya tidak dtemukan  harus bagai mana ini,stiap mau buka apk pst sdh terkeluar  mau masuk katanya tidak dtemukan  harus bagai mana ini,"['stiap', 'mau', 'buka', 'apk', 'pst', 'sdh', 'terkeluar', 'mau', 'masuk', 'katanya', 'tidak', 'dtemukan', 'harus', 'bagai', 'mana', 'ini']","['stiap', 'mau', 'buka', 'apk', 'pst', 'sdh', 'terkeluar', 'mau', 'masuk', 'katanya', '', 'dtemukan', '', 'bagai', 'mana', '']","['stiap', 'mau', 'buka', 'apk', 'pst', 'sdh', 'keluar', 'mau', 'masuk', 'kata', '', 'dtemukan', '', 'bagai', 'mana', '']",setiap mau buka aplikasi pasti sudah keluar mau masuk kata  ditemukan  bagai mana 
14,1,Sudah berapa kali gagal beli pulsa .. saldo terpotong ..pulsa gagal masuk... proses pengsmbalian lama.. telpon cs habis 50rb,sudah berapa kali gagal beli pulsa .. saldo terpotong ..pulsa gagal masuk... proses pengsmbalian lama.. telpon cs habis 50rb,sudah berapa kali gagal beli pulsa    saldo terpotong   pulsa gagal masuk    proses pengsmbalian lama   telpon cs habis  rb,sudah berapa kali gagal beli pulsa    saldo terpotong   pulsa gagal masuk    proses pengsmbalian lama   telpon cs habis  rb,"['sudah', 'berapa', 'kali', 'gagal', 'beli', 'pulsa', 'saldo', 'terpotong', 'pulsa', 'gagal', 'masuk', 'proses', 'pengsmbalian', 'lama', 'telpon', 'cs', 'habis', 'rb']","['', 'berapa', 'kali', 'gagal', 'beli', 'pulsa', 'saldo', 'terpotong', 'pulsa', 'gagal', 'masuk', 'proses', 'pengsmbalian', 'lama', 'telpon', 'cs', 'habis', 'rb']","['', 'berapa', 'kali', 'gagal', 'beli', 'pulsa', 'saldo', 'potong', 'pulsa', 'gagal', 'masuk', 'proses', 'pengsmbalian', 'lama', 'telpon', 'cs', 'habis', 'rb']", berapa kali gagal beli pulsa saldo potong pulsa gagal masuk prose pengsmbalian lama telpon c habis rb
15,3,Aplikasi ini masak setiap bulan harus update trs tidak bisa paket data,aplikasi ini masak setiap bulan harus update trs tidak bisa paket data,aplikasi ini masak setiap bulan harus update trs tidak bisa paket data,aplikasi ini masak setiap bulan harus update trs tidak bisa paket data,"['aplikasi', 'ini', 'masak', 'setiap', 'bulan', 'harus', 'update', 'trs', 'tidak', 'bisa', 'paket', 'data']","['aplikasi', '', 'masak', '', 'bulan', '', 'update', 'trs', '', '', 'paket', 'data']","['aplikasi', '', 'masak', '', 'bulan', '', 'update', 'trs', '', '', 'paket', 'data']",aplikasi  masak  bulan  update terus   paket data
16,1,aplikasi sering terblokir sendiri,aplikasi sering terblokir sendiri,aplikasi sering terblokir sendiri,aplikasi sering terblokir sendiri,"['aplikasi', 'sering', 'terblokir', 'sendiri']","['aplikasi', 'sering', 'terblokir', 'sendiri']","['aplikasi', 'sering', 'blokir', 'sendiri']",aplikasi sering blokir sendiri
17,4,Aplikasi lumayan bagus untuk sekelas BUMD tetapi tolong di perbaiki masalah gangguan sistem,aplikasi lumayan bagus untuk sekelas bumd tetapi tolong di perbaiki masalah gangguan sistem,aplikasi lumayan bagus untuk sekelas bumd tetapi tolong di perbaiki masalah gangguan sistem,aplikasi lumayan bagus untuk sekelas bumd tetapi tolong di perbaiki masalah gangguan sistem,"['aplikasi', 'lumayan', 'bagus', 'untuk', 'sekelas', 'bumd', 'tetapi', 'tolong', 'di', 'perbaiki', 'masalah', 'gangguan', 'sistem']","['aplikasi', 'lumayan', 'bagus', '', 'sekelas', 'bumd', '', '', '', 'perbaiki', 'masalah', 'gangguan', 'sistem']","['aplikasi', 'lumayan', 'bagus', '', 'kelas', 'bumd', '', '', '', 'baik', 'masalah', 'ganggu', 'sistem']",aplikasi lumayan bagus  kelas bumd    baik masalah ganggu sistem
18,1,"Hp saya saya instal ke pengaturan awal,afk setelah didonwload ulang pas mau masuk ke akun kita lg malah tidak bisa lg,sepertinya hrs hubungi cs bank lagikan bank kita jauh bagaimana ini","hp saya saya instal ke pengaturan awal,afk setelah didonwload ulang pas mau masuk ke akun kita lg malah tidak bisa lg,sepertinya hrs hubungi cs bank lagikan bank kita jauh bagaimana ini",hp saya saya instal ke pengaturan awal afk setelah didonwload ulang pas mau masuk ke akun kita lg malah tidak bisa lg sepertinya hrs hubungi cs bank lagikan bank kita jauh bagaimana ini,hp saya saya instal ke pengaturan awal afk setelah didonwload ulang pas mau masuk ke akun kita lg malah tidak bisa lg sepertinya hrs hubungi cs bank lagikan bank kita jauh bagaimana ini,"['hp', 'saya', 'saya', 'instal', 'ke', 'pengaturan', 'awal', 'afk', 'setelah', 'didonwload', 'ulang', 'pas', 'mau', 'masuk', 'ke', 'akun', 'kita', 'lg', 'malah', 'tidak', 'bisa', 'lg', 'sepertinya', 'hrs', 'hubungi', 'cs', 'bank', 'lagikan', 'bank', 'kita', 'jauh', 'bagaimana', 'ini']","['hp', '', '', 'instal', '', 'pengaturan', 'awal', 'afk', '', 'didonwload', 'ulang', 'pas', 'mau', 'masuk', '', 'akun', '', 'lg', 'malah', '', '', 'lg', 'sepertinya', 'hrs', 'hubungi', 'cs', 'bank', 'lagikan', 'bank', '', 'jauh', 'bagaimana', '']","['hp', '', '', 'instal', '', 'atur', 'awal', 'afk', '', 'didonwload', 'ulang', 'pas', 'mau', 'masuk', '', 'akun', '', 'lg', 'malah', '', '', 'lg', 'seperti', 'hrs', 'hubung', 'cs', 'bank', 'lagi', 'bank', '', 'jauh', 'bagaimana', '']",hp   instal  atur awal afk  didonwload ulang pa mau masuk  akun  lagi malah   lagi seperti hr hubung c bank lagi bank  jauh bagaimana 
19,1,Bukan malah mempermudah transaksi ini malah mempersulit. seringnya bermasalah,bukan malah mempermudah transaksi ini malah mempersulit. seringnya bermasalah,bukan malah mempermudah transaksi ini malah mempersulit  seringnya bermasalah,bukan malah mempermudah transaksi ini malah mempersulit  seringnya bermasalah,"['bukan', 'malah', 'mempermudah', 'transaksi', 'ini', 'malah', 'mempersulit', 'seringnya', 'bermasalah']","['bukan', 'malah', 'mempermudah', 'transaksi', '', 'malah', 'mempersulit', 'seringnya', 'bermasalah']","['bukan', 'malah', 'mudah', 'transaksi', '', 'malah', 'sulit', 'sering', 'masalah']",bukan malah mudah transaksi  malah sulit sering masalah
20,5,Yang terbaik,yang terbaik,yang terbaik,yang terbaik,"['yang', 'terbaik']","['', 'terbaik']","['', 'baik']", baik
21,2,Akun mudah terbelokir saat melepas / tambah kartu SIM,akun mudah terbelokir saat melepas / tambah kartu sim,akun mudah terbelokir saat melepas   tambah kartu sim,akun mudah terbelokir saat melepas   tambah kartu sim,"['akun', 'mudah', 'terbelokir', 'saat', 'melepas', 'tambah', 'kartu', 'sim']","['akun', 'mudah', 'terbelokir', '', 'melepas', 'tambah', 'kartu', 'sim']","['akun', 'mudah', 'terbelokir', '', 'lepas', 'tambah', 'kartu', 'sim']",akun mudah terbelokir  lepas tambah kartu sim
22,4,Ok,ok,ok,ok,['ok'],[''],[''],
23,4,"kok kartu ATMnya gak pernah ready ya, tiap mau ganti kartu gak pernah ada susah banget mau transaksi apalagi klo mau tarik tunai, ribet kalau ke banknya belum lagi kalau tiba-tiba mau narik tapi banknya tutup jadi terhambat, tolong ya min terutama daerah kota Pagaralam ga pernah ready kartu ATMnya dari tahun kemaren!!","kok kartu atmnya gak pernah ready ya, tiap mau ganti kartu gak pernah ada susah banget mau transaksi apalagi klo mau tarik tunai, ribet kalau ke banknya belum lagi kalau tiba-tiba mau narik tapi banknya tutup jadi terhambat, tolong ya min terutama daerah kota pagaralam ga pernah ready kartu atmnya dari tahun kemaren!!",kok kartu atmnya gak pernah ready ya  tiap mau ganti kartu gak pernah ada susah banget mau transaksi apalagi klo mau tarik tunai  ribet kalau ke banknya belum lagi kalau tiba tiba mau narik tapi banknya tutup jadi terhambat  tolong ya min terutama daerah kota pagaralam ga pernah ready kartu atmnya dari tahun kemaren,kok kartu atmnya gak pernah ready ya  tiap mau ganti kartu gak pernah ada susah banget mau transaksi apalagi klo mau tarik tunai  ribet kalau ke banknya belum lagi kalau tiba tiba mau narik tapi banknya tutup jadi terhambat  tolong ya min terutama daerah kota pagaralam ga pernah ready kartu atmnya dari tahun kemaren,"['kok', 'kartu', 'atmnya', 'gak', 'pernah', 'ready', 'ya', 'tiap', 'mau', 'ganti', 'kartu', 'gak', 'pernah', 'ada', 'susah', 'banget', 'mau', 'transaksi', 'apalagi', 'klo', 'mau', 'tarik', 'tunai', 'ribet', 'kalau', 'ke', 'banknya', 'belum', 'lagi', 'kalau', 'tiba', 'tiba', 'mau', 'narik', 'tapi', 'banknya', 'tutup', 'jadi', 'terhambat', 'tolong', 'ya', 'min', 'terutama', 'daerah', 'kota', 'pagaralam', 'ga', 'pernah', 'ready', 'kartu', 'atmnya', 'dari', 'tahun', 'kemaren']","['kok', 'kartu', 'atmnya', 'gak', 'pernah', 'ready', '', 'tiap', 'mau', 'ganti', 'kartu', 'gak', 'pernah', '', 'susah', 'banget', 'mau', 'transaksi', '', 'klo', 'mau', 'tarik', 'tunai', 'ribet', 'kalau', '', 'banknya', '', '', 'kalau', 'tiba', 'tiba', 'mau', 'narik', '', 'banknya', 'tutup', 'jadi', 'terhambat', '', '', 'min', 'terutama', 'daerah', 'kota', 'pagaralam', 'ga', 'pernah', 'ready', 'kartu', 'atmnya', '', 'tahun', 'kemaren']","['kok', 'kartu', 'atmnya', 'gak', 'pernah', 'ready', '', 'tiap', 'mau', 'ganti', 'kartu', 'gak', 'pernah', '', 'susah', 'banget', 'mau', 'transaksi', '', 'klo', 'mau', 'tarik', 'tunai', 'ribet', 'kalau', '', 'bank', '', '', 'kalau', 'tiba', 'tiba', 'mau', 'narik', '', 'bank', 'tutup', 'jadi', 'hambat', '', '', 'min', 'utama', 'daerah', 'kota', 'pagaralam', 'ga', 'pernah', 'ready', 'kartu', 'atmnya', '', 'tahun', 'kemaren']",kok kartu atmnya gak pernah ready  tiap mau ganti kartu gak pernah  susah banget mau transaksi  kalau mau tarik tunai ribet kalau  bank   kalau tiba tiba mau narik  bank tutup jadi hambat   min utama daerah kota pagaralam tidak pernah ready kartu atmnya  tahun kemaren
24,1,"Aplikasi Taik masa aktivasi ulang trs, ujung²nya diblokir.","aplikasi taik masa aktivasi ulang trs, ujung²nya diblokir.",aplikasi taik masa aktivasi ulang trs  ujung nya diblokir,aplikasi taik masa aktivasi ulang trs  ujung nya diblokir,"['aplikasi', 'taik', 'masa', 'aktivasi', 'ulang', 'trs', 'ujung', 'nya', 'diblokir']","['aplikasi', 'taik', 'masa', 'aktivasi', 'ulang', 'trs', 'ujung', 'nya', 'diblokir']","['aplikasi', 'taik', 'masa', 'aktivasi', 'ulang', 'trs', 'ujung', 'nya', 'blokir']",aplikasi taik masa aktivasi ulang terus ujung nya blokir
25,1,aplikasi sering error dan time out jaringan. QRIS BERMASALAH GAGAL TAPI SALDO KESEDOT,aplikasi sering error dan time out jaringan. qris bermasalah gagal tapi saldo kesedot,aplikasi sering error dan time out jaringan  qris bermasalah gagal tapi saldo kesedot,aplikasi sering error dan time out jaringan  qris bermasalah gagal tapi saldo kesedot,"['aplikasi', 'sering', 'error', 'dan', 'time', 'out', 'jaringan', 'qris', 'bermasalah', 'gagal', 'tapi', 'saldo', 'kesedot']","['aplikasi', 'sering', 'error', '', 'time', 'out', 'jaringan', 'qris', 'bermasalah', 'gagal', '', 'saldo', 'kesedot']","['aplikasi', 'sering', 'error', '', 'time', 'out', 'jaring', 'qris', 'masalah', 'gagal', '', 'saldo', 'sedot']",aplikasi sering error  time out jaring qris masalah gagal  saldo sedot
26,1,Aplikasi gak guna..sudahlah atm gk ada stock di cbg..eh MBnya cacat..gk bisa digunain,aplikasi gak guna..sudahlah atm gk ada stock di cbg..eh mbnya cacat..gk bisa digunain,aplikasi gak guna  sudahlah atm gk ada stock di cbg  eh mbnya cacat  gk bisa digunain,aplikasi gak guna  sudahlah atm gk ada stock di cbg  eh mbnya cacat  gk bisa digunain,"['aplikasi', 'gak', 'guna', 'sudahlah', 'atm', 'gk', 'ada', 'stock', 'di', 'cbg', 'eh', 'mbnya', 'cacat', 'gk', 'bisa', 'digunain']","['aplikasi', 'gak', '', 'sudahlah', 'atm', 'gk', '', 'stock', '', 'cbg', 'eh', 'mbnya', 'cacat', 'gk', '', 'digunain']","['aplikasi', 'gak', '', 'sudah', 'atm', 'gk', '', 'stock', '', 'cbg', 'eh', 'mbnya', 'cacat', 'gk', '', 'digunain']",aplikasi gak  sudah atm tidak  stock  cabang eh mbnya cacat tidak  digunain
