;Unnamed: 0;text;cluster;score
39;39;ulang sim pasang ny mohon minta masa lepas kartu karna hp card bolak blokir bank bangking balik baik aktivasi;3.0;1.0
40;40;yang ulang tapi sumsel sama rugi perangkat padahal nomor nali minta kurang kembang jelas jauh hp hari gak dari buka bug blokir benah bank baik babel aplikasi akun aktivasi ak;0.0;1.0
41;41;udah tapi susah sering ribu pulsa mau masuk habis gak eror centernya call banget aplikasi;3.0;1.0
42;42;mantap;1.0;5.0
43;43;mantap;1.0;5.0
44;44;mudah keren guna aplikasi;0.0;5.0
45;45;update makin kembang hari baik;2.0;5.0
46;46;yang sekali sangat bantu aplikasi;1.0;5.0
47;47;guna bagus aplikasi;0.0;5.0
48;48;usah transfer tidak sudah sih rekening perintah pakai pa mutu mohon mau malah kartu hampir gagal duit daftar daerah bulan benar banking bank balik atm aja;3.0;1.0
49;49;kerja baik aplikasi;2.0;5.0
50;50;yang tiap sama rumah ribet pakai mudah mbangking masuk masa mana malah makin lah koneksi kok kata jauh internet gimana ganggu bulan bukan buat berapa benerin baru bank baik appnya app apa aja;3.0;2.0
51;51;yah ulang terus selalu sekarang minta masuk gagal aplikasi aktivasi;3.0;3.0
52;52;tunggu transfer transaksi sering sekali sangat saldo potong paksa pakai masuk komplain kerja jelek hari gilir gaji error bank;3.0;1.0
53;53;terima sim sedang pasang otp minta masuk langsung keluar kartu kantor kali hp diaktivasi datang coba cabang blokir baik apa aman akun aktivasi aja;3.0;1.0
54;54;baik;2.0;2.0
55;55;ulang selalu sekarang minta ku kasih kalo jelek buka bsb bintang banking banget aktivasi aja;3.0;1.0
56;56;sangat panjang masa mantap bank baik;2.0;5.0
57;57;ulang tiba terang tahu suruh sama rek perangkat pakek padahal nomer masuk langsung kantor gilir gampang cuma blokir benar bank bagus apknya aktivasi;3.0;3.0
58;58;transfer susah online buat;3.0;1.0
59;59;sangat;1.0;5.0
60;60;ulang sering sekali salah minta langsung blokir bikin banget aktivasi;3.0;1.0
62;62;mudah mantap;1.0;5.0
63;63;transaksi perlu otp canggih;3.0;5.0
64;64;melulu error;3.0;1.0
65;65;ulang terlalu sering minta guna buat aktifasi;3.0;1.0
66;66;sangat manfaat;1.0;5.0
67;67;tingkat oke;3.0;5.0
68;68;terus lancar;3.0;5.0
69;69;simcard login error deteksi android;3.0;5.0
70;70;transaksi token sumselbabel moga mobile listrik kelas depan daerah beli banking bank baik;3.0;5.0
71;71;sekali manfaat aplikasi;0.0;5.0
72;72;tolong tiap servernya registrasi perhati mau masa login kali admin;3.0;2.0
73;73;via ulang tidak terus terimakasih sinyal ribet rasa kalo jdi buat blokir bank banget aplikasi aktivasi aja;3.0;3.0
74;74;tidak selalu saldo pulsa pakai mau masuk error beli;3.0;2.0
75;75;parah mantul;3.0;5.0
76;76;ulang gimana dekat cara bank apa aktivasi;3.0;5.0
77;77;ulang tidak suruh sekarang menu mbanking lapor kemaren jga jelas gak daftar buat baru aplikasi aktivasi;3.0;1.0
78;78;smga baik aplikasi;2.0;5.0
80;80;ujung segala pakai otp nunggu muncul lelet lama kode jelek gak aplikasi;3.0;1.0
81;81;transaksi susah suka malam kalau;3.0;2.0
82;82;mudah mantap guna aplikasi;0.0;5.0
83;83;top aplikasi;0.0;5.0
84;84;untk transaksi sangat mudah bagus aplikasi;1.0;5.0
85;85;bagus aplikasi;0.0;5.0
86;86;sangat mobile aman;1.0;5.0
87;87;sangat mudah guna aman;1.0;5.0
88;88;tingkat sumsel nyaman guna bank bagus babel aplikasi aman;0.0;5.0
89;89;sangat manfaat;1.0;5.0
90;90;sangat bantu;1.0;5.0
91;91;yang update tanggal pernah perangkat masa mana malah ganti coba blokir banking aplikasi;0.0;1.0
92;92;transaksi mudah lebih;1.0;5.0
93;93;mbanking mantap bsb;1.0;5.0
94;94;transaksi terimakasih sangat mohon moga langsung kartu kapan guna buat atm aplikasi ada;1.0;5.0
95;95;user simpel friendly;3.0;5.0
96;96;mantul luar biasa;3.0;5.0
97;97;yang tidak terus susah sumsel sekian ribet mau gagal dipake dari butuh bank babel aplikasi aktivasi;3.0;1.0
98;98;untuk transaksi moga mobile lebih fasilitas banyak;3.0;5.0
99;99;ribet punya oke nomor mbankingnya;3.0;5.0
100;100;transaksi semenjak mudah makin fast bi ada;3.0;5.0
101;101;baik;2.0;5.0
102;102;sangat guna;1.0;5.0
103;103;wallet top tidak tiap suka sistem sih selalu qris potong nunggu mau masa lama lah kena kembali jelas gagal dulu duit benerin banget apa aja;3.0;2.0
104;104;tuju transaksi sering lihat koneksi hasil eror daftar baik;3.0;1.0
105;105;ulang terang sering langsung koneksi kan hari gilir bener baik aneh aktivasi;3.0;1.0
106;106;sistem sering salah paling malah kelas gak eror blokir banyak aman;3.0;1.0
107;107;sering ngak maksimal layan kena jangan dikit blokir banget;3.0;3.0
108;108;keluar kartu kalau ganti gak blokir baik bagus;3.0;3.0
109;109;transaksi sayang sangat saldo potong perhati lengkap komplain keluh jujur ganggu fitur error beli beberapa bayar bantu aplikasi;1.0;3.0
110;110;uang transfer mudah lebih;3.0;5.0
111;111;oke;3.0;5.0
112;112;bagus;1.0;5.0
113;113;transaksi tampil sangat paham mudah bantu bagus;1.0;5.0
114;114;terus masalah kok jaring bagus aplikasi;0.0;1.0
115;115;baik;2.0;5.0
116;116;sering eror cuma bagus;3.0;5.0
117;117;bagus;1.0;4.0
118;118;sering masalah;3.0;1.0
119;119;sangat lengkap fitur bantu aplikasi;1.0;5.0
120;120;transaksi mudah mana;1.0;5.0
121;121;transaksi sangat mudah dannyaman bantu aman;1.0;5.0
122;122;via untung terimakasih telpon tarik sering ribet ramah praktis otp mudah mbanking masalah lihat lebih keren kelas fitur dong center call blokir aplikasi;3.0;5.0
123;123;satu ganggu dulu;3.0;1.0
124;124;transaksi sangat mudah moga makin lancar jaya bantu aplikasi;1.0;5.0
125;125;transaksi sangat mobile bsb bantu aman;1.0;5.0
126;126;udah tapi perlu padahal mudah mana lancar lagi kurang internet ganggu deh bsb besar baik aplikasi aja;3.0;1.0
127;127;transaksi mudah mana cepat bagus;1.0;5.0
128;128;update udah ubah tambah saldo qris potong parah nyata kata gagal banyak;3.0;1.0
129;129;transaksi saldo pulsa potong mau masuk laku kirim kalau bukti beli bayar;3.0;4.0
130;130;yang update ulang ujung salah rating pihak perintah minggu mau login kembang kemarin kasih kalau hari gimana dong bulan buka blokir baru aplikasi aktivasi;0.0;1.0
131;131;jadi izin gimana butuh aplikasi ak;0.0;3.0
132;132;susah stabil sinyal masuk kok kata jaring gak bagus;3.0;3.0
133;133;rasa bank aplikasi;0.0;1.0
134;134;siap mulu login koneksi kek gagal aplikasi;0.0;4.0
135;135;selalu masuk lama jaring bagus aplikasi;0.0;1.0
136;136;wifi uda tetap sumsel pihak pake padahal login lancar kok jelek jaring coba buka bank baik babel aplikasi ala aja;0.0;1.0
137;137;sering eror;3.0;1.0
138;138;oke;3.0;5.0
139;139;mulu eror;3.0;1.0
140;140;ulang terus ribet mau masa mana dulu bank aktivasi;3.0;1.0
141;141;waktu uang transfer tidak tapi saldo ribu masuk kurang ku eror;3.0;1.0
142;142;ulang satu padahal minggu mbanking masa lama lalu buat baru aktivasi;3.0;1.0
143;143;terus selalu minta aktivasi;3.0;4.0
144;144;terus sumsel sudah sendiri saldo pulsa masuk lewat lah kurang kok isi gin eror blokir banking bangking bakal baik atmnya;3.0;1.0
145;145;terus terlalu sumsel simple otpnya lebih kalau jgn banyak baik aplikasi;2.0;5.0
146;146;transfer tapi prose pake nunggu mau malah layan lama krna kerja kalau hr gaji debit buruk babel atm;3.0;1.0
147;147;usah transaksi sering salah pikir perangkat pegawai narik minggu mau makan lihat lagi kasih kalo kalau jelas jam jalan ini gaji butuh buka bsb blokir bank banget ayo aplikasi apa ambil aku;3.0;1.0
148;148;yang via suka ribet pergi orang online lain kayak jadi gak donk coba buat blokir banking bank aktivasi;3.0;3.0
149;149;transaksi malam hari gagal;3.0;1.0
150;150;uninstal sy sudah simcard jadi gara cuma buka blokir aplikasi;0.0;1.0
151;151;sukses selalu moga;3.0;5.0
152;152;yang tidak sumsel sama saldo pemberitahuan padahal pa muas mobile masuk lepas kurang kartu kali hp dong daftar banking baik babel atau akun aktivasi;3.0;1.0
153;153;sangat bantu;1.0;4.0
154;154;mantap;1.0;5.0
155;155;good;1.0;5.0
156;156;sangat puas pakai mbanking;1.0;5.0
157;157;mantap;1.0;5.0
158;158;wifi transaksi tiap sumsel sm signal sekali sayang sama ribet percuma pake otp kan jelek jadi gak dipake depan daerah coba buka banyak banking baik bahkan;3.0;1.0
159;159;tiba pa gak gaji buka blokir aplikasi apa aja;0.0;1.0
160;160;baik;2.0;5.0
161;161;transaksi sangat mudah;1.0;5.0
162;162;tim tiba sumsel sistem sinyal sih sekali saldo mudah mau masa login lah gara dulu cek blokir benerin bank babel aplikasi akun;3.0;1.0
163;163;mantap;1.0;5.0
164;164;transaksi mana lancar kapan;3.0;5.0
165;165;transaksi sekali sangat bantu;1.0;5.0
166;166;sm pa otp masukin malah langsung kode blokir;3.0;3.0
167;167;sangat praktis bantu;1.0;5.0
168;168;sangat bantu;1.0;5.0
169;169;ngak listrik bayar;3.0;3.0
171;171;transaksi top sumsel pulsa pay memang isi go bantu bank babel aplikasi;3.0;5.0
172;172;skrng mudah lebih fast bi ada;3.0;5.0
173;173;transaksi seluruh mudah lengkap gampang dlm butuh aplikasi;0.0;5.0
174;174;yang uang transfer suruh sumsel sangat saldo potong pihak pertama nunggu malah kerja kembali kecewa kali jujur jadi hari guna gagal fast bi baru bank babel;3.0;1.0
175;175;simpel sangat prose mudah guna fiturnya bantu aplikasi;1.0;5.0
176;176;mantap kali;1.0;5.0
177;177;tidak tanya tadi sudah saldo pulsa pesan nomor masuk malah lewat kurang kak gimana erorr email dong beli bangking baik baca;3.0;2.0
178;178;transaksi sangat rumah repot mudah laku keluar bantu bagai aplikasi;1.0;5.0
179;179;sangat muas;1.0;5.0
180;180;baik;2.0;5.0
181;181;lancar jauh jalan;3.0;5.0
182;182;mantap luar biasa aplikasi;0.0;5.0
183;183;transaksi mudah;1.0;5.0
187;187;transaksi gua bank;3.0;5.0
190;190;transaksi terima sumsel mudah kasih bank babel;1.0;5.0
191;191;mbankingnya makin baik;2.0;5.0
192;192;sangat baik;2.0;5.0
193;193;sangat mudah muas guna;1.0;5.0
194;194;oke;3.0;5.0
195;195;sangat mudah muas mantab guna bsb;1.0;5.0
196;196;mantab bsb;3.0;5.0
197;197;transaksi sangat mudah muas lebih laku;1.0;5.0
198;198;bagus;1.0;5.0
199;199;untuk transaksi sangat mudah bagus;1.0;5.0
200;200;transaksi mudah;1.0;5.0
202;202;udah tiba suruh sekian ribet mudah malah kode kali jadi isi bukan bolak blokir bank balik aktivasi;3.0;1.0
203;203;sumsel sekali sangat palembang ku bank aman;3.0;5.0
204;204;transfer tolol super selalu ribet palembang malu login kelas kayak gagal bobrok bank aplikasi aktivasi;0.0;1.0
205;205;bagus;1.0;5.0
206;206;tidak terus sumsel soal pake padahal mbanking login kemarin hp gak dekat cuman cabang buka blokir bank babel aplikasi aneh aman aja;3.0;1.0
207;207;uang tulis terus tabung sering sekali sangat sama rugi ribu pulsa potong nyata nasabah masuk malah lewat layan kok kali kalau jadi hilang gagal eror coba biaya beli aplikasi admin;3.0;1.0
208;208;ulang tidak terang sedia pacak pa muncul minta malah log lah hari gara blokir baru bank aktivasi;3.0;1.0
209;209;untuk tinggal terus sudah sangat sama minta masa lain kode jauh bank babel aplikasi aktivasinya aktivasi;3.0;1.0
210;210;update ulang tidak samsung perangkat padahal nali muncul min ingat hp ganti buat bolak blokir bank balik baik akun aktivasi;3.0;4.0
211;211;transaksi tinggal telpon saran sangat saldo salah rugi potong mobile melulu manual malah lebih kembali kali jadi guna canggih bank baik aplikasi;0.0;1.0
212;212;sistem sering mohon jaring eror blokir baik;2.0;1.0
213;213;lengkap fitur;3.0;5.0
214;214;ulang tiap sangat otomatis mau login kalo kali buruk blokir bank aktivasi;3.0;1.0
215;215;sumsel mobile minta masuk gak aktivasinya;3.0;5.0
216;216;sangat buruk;1.0;1.0
217;217;yang user ulang transfer tampil susah silah sangat pa notifikasi muncul mudah menu mau malah mahal login lihat langsung jelek buruk buka blokir biaya bank aplikasi antar aktivitas aktivasi admin;3.0;1.0
218;218;transaksi tolol saldo potong malah gagal aplikasi;0.0;1.0
219;219;sulit mohon masuk bantu akun;3.0;5.0
220;220;tidak terus terlalu suka sudah soal ribet otp org moga lelet lebih lagi kembang kasih kalau banyak baik aplikasi;3.0;3.0
221;221;tutup sekarang mohon hari buka blokir baru baik aplikasi apa;0.0;1.0
222;222;sistem jelek aplikasi;0.0;1.0
224;224;terus eror;3.0;1.0
225;225;sering kenapa eror;3.0;3.0
226;226;terus susah semua sangat perangkat padahal nali minta mau malah kali data buka benar aplikasi aktivasi;3.0;1.0
227;227;yang saldo pulsa malah kurang beli aplikasi;3.0;1.0
228;228;ulang transfer susah sm ribet otp mau masuk kode kali gak emosi aja ada;3.0;3.0
229;229;ulang terus capek aktivasi;3.0;1.0
230;230;wifi transfer terus perintah padahal memang koneksi kelas jadi internet guna gagal cek buat banget aplikasi ala;3.0;1.0
232;232;selalu sekali masalah lancar koneksi jaring gilir baik aplikasi aman;0.0;1.0
233;233;tingkat sering sangat perlu layan kurang eror banking;3.0;1.0
234;234;tunai tarik moga kartu fitur;3.0;5.0
235;235;ribet mending bca bank aplikasi aja;0.0;1.0
236;236;walaupun user ulang tidak sudah sm selalu minta masuk kode gilir friendly bener aplikasi aktivasi;0.0;1.0
237;237;tiap tau sumsel sekarang pindah padahal mudah minggu mesti masa gak buka blokir bank banget baik;3.0;1.0
238;238;tak maksimal layan;3.0;1.0
239;239;pakai login betul bank;3.0;3.0
240;240;tolol gak aplikasi;0.0;1.0
241;241;udah pake masa mana login jauh jam iya id guna gak butuh bulan bolak bikin baru bank balik;3.0;2.0
242;242;tulis tabung susah sih sedia punya pertama pakai mau lah keluar kali gimana gampang gak daftar buku baru bank banget atm aplikasi aktivasi aja;3.0;1.0
243;243;tuh transfer sih rugi ribet pilih mulu mau loading lalu kalau hapus fast bikin bi bank aj;3.0;1.0
244;244;ulang udah terus sendiri malah keluar gabisa dikit blokir anehh ampun aktif;3.0;1.0
245;245;bagus aplikasi;0.0;5.0
246;246;mantap;1.0;5.0
247;247;good;1.0;5.0
248;248;terus susah skrg pa masuk malah kata kali gak buat bsa blokir apa;3.0;3.0
249;249;susah repot pakai mudah mbanking mahal kerja karna kalau guna gak dah buruk bukan blokir bikin biaya banget aplikasi ala admin;3.0;1.0
250;250;transfer terus sumpah sulit segala pesan mau eror apa aja;3.0;1.0
251;251;terus susah minta gagal aktivasi aja;3.0;1.0
252;252;bsb;3.0;5.0
253;253;transfer susah rekening minta mau baru ampun aja;3.0;1.0
254;254;yang uninstal ulang udah tidak terus sudah segera satu padahal minggu lewat jg instal guna dong dari bsb baru baik aplikasi;0.0;5.0
255;255;ini banget aplikasi;0.0;1.0
256;256;voucher transaksi tak tahu sm sekali sama saldo rasa pulsa potong pergi notif masuk makin laku kurang jadi gagal eror cek bsb bobrok beli apa;3.0;1.0
257;257;ulang sumselbabel sini sekarang sangat online mungkin mudah mbanking laku kendala karna kantor jauh harap blokir bank aktivasi;3.0;2.0
258;258;smga;3.0;5.0
259;259;sulit guna;3.0;1.0
260;260;wallet transfer top simpel rekening online mudah moga min lengkap lebih gratis fitur buka bagus aplikasi;3.0;5.0
261;261;uang tutup sih parah padahal mobile mending masak keluar kayak kalian iya guna gin dikit daerah besar bener bankingnya bank aplikasi aja;0.0;1.0
262;262;yang wa uninstal sumsel sering mungkin masuk maaf bank babel aplikasi;3.0;5.0
263;263;ulang tidak tetap terus selalu mintak laku kesal bikin aktivasi;3.0;1.0
264;264;selalu sedia ribet kendala aktivasi;3.0;1.0
265;265;berat;3.0;1.0
266;266;ulang tapi sumsel sedia minta lah kata banking baik ayo aktivasi;3.0;1.0
267;267;suruh pa mbanking mau ingat buka aktivasi;3.0;1.0
268;268;yang urus udah uang tunai transaksi tidak terus tarik sering sama saldo repot qris pake maupun lapor kurang kualitas keluar kantor jauh guna error dlu bnyk bank banget baik;3.0;1.0
269;269;yang untuk transfer sy sudah rek mau masuk kecewa gaji bank apa;3.0;1.0
270;270;sumsel sama nih kesel;3.0;1.0
271;271;ulang tpi tingkat terus teblokir susah sering sedikit sangat saldo rugi pulsa potong masuk login lgi jelas gak emang buruk aplikasi;0.0;1.0
272;272;sih saldo padahal kok kek gin gak apknya;3.0;2.0
273;273;ulang sumsel suka selalu sangat repot minta luar kesel kendala butuh aktivasi;3.0;2.0
274;274;ulang transaksi tidak tetep tapi sy sulit sudah sm slalu selalu sekarang pake padahal pa ny nomor msh mohon mnta masuk lewat krn kok kode kenapa kemaren kecewa kartu jg jd hp gaji dulu daftar coba buat bsb bener bantu bank app aplikasi aktivasi;3.0;2.0
275;275;mbankingnya mbanking kualitas cuma buruk bank;3.0;1.0
276;276;terus sekali penting pdahal;3.0;1.0
277;277;ulang registrasi mulu mintak mau kalo kali jgn error buka baik aplikasi;0.0;1.0
278;278;yang top sudah saldo rugi potong mobile masuk malah lewat gak dong dana bsb benar aplikasi aja;3.0;1.0
279;279;mohon log baik;2.0;5.0
280;280;ulang udah suruh password pa mau login gimana benar aktivasi;3.0;1.0
281;281;suka eror;3.0;2.0
282;282;jelek;3.0;5.0
283;283;bug;3.0;1.0
284;284;sekarang fitur fast canggih bsb bi best;3.0;5.0
285;285;sumsel babel;3.0;5.0
286;286;bos;3.0;5.0
287;287;aktivasi;3.0;1.0
288;288;susah mau banget aktivasi;3.0;1.0
289;289;transfer saldo saat potong malah liat kembali jadi eror bukti atm;3.0;1.0
290;290;udah teblokir selalu minggu lgi jelas gak gagal cuma blokir bikin bank aplikasi;0.0;1.0
291;291;rek registrasi pa nomor mau daftar;3.0;1.0
292;292;tidak ribet malah login ganti buat;3.0;1.0
293;293;mudah lancar ak;3.0;5.0
294;294;uang tidak tiba tabung susah sistem server sering pernah paling mbanking masalah mana layan kesal jelek jadi hubung ganggu error bikin beres banyak banget;3.0;1.0
295;295;transaksi terus sering saldo pulsa potong padahal masuk laku jaring jadi isi eror aman;3.0;2.0
296;296;transaksi terus error beli;3.0;1.0
297;297;yang user urus ulang transaksi tidak sy suruh stabil sinyal selesai sama rekening pernah perangkat pake padahal minggu mau masuk lama laku kemudian kemarin kali kalau jelek jaring guna gaji bukan blokir blm benar beda bank aktivasi;3.0;1.0
298;298;waktu ulang ujung sekali sayang sangat saldo padahal malah guna error cek butuh banyak aktivasi;3.0;1.0
299;299;waktu ulang terus sering satu rumah mau mandiri mana makan kalau jangan jam gak dong bulan bank aktivasi;3.0;1.0
300;300;udah suka sendiri pa malah jelas ilang id guna gak eror data banget aplikasi;0.0;1.0
301;301;sering male jadi error;3.0;1.0
302;302;sudah solusi pernah otp nomor hari gimana gak;3.0;4.0
303;303;selalu blokir aktivasi;3.0;1.0
304;304;untuk tidak sih pln masa bayar aja;3.0;3.0
305;305;transaksi tidak tetap solusi sini sering sekali segera saldo rugi rasa potong nasabah kembali kali kalau jangan jadi gagal error biaya berapa baik admin;3.0;1.0
306;306;sangat muas;1.0;5.0
307;307;wallet transfer top sumsel rekening palembang mudah moga gratis cepat buka bank bagus babel aplikasi akhir;3.0;5.0
308;308;ulang temu solusi nih muncul minta min mau malah login jadi gimana diaktivasi data aktivasi;3.0;1.0
309;309;transfer transaksi terimakasih semua sangat lancar gopay bsb bantu;1.0;5.0
310;310;susah suruh sekali sedia orang mulu mudah mobile mau malah kali gimana gak bukan baru bank app aktivasi;3.0;1.0
311;311;mantap;1.0;5.0
312;312;ulang ribet minta mandiri jalan bulan beda banget atm aktivasi;3.0;2.0
313;313;ulang sim sering mohon lepas kartu blokir baik akun aktivasi;3.0;2.0
314;314;via user update ulang tidak tapi repot perangkat parah pake padahal pa online nama nali mobile minta mau mana malah layan lama kata kantor jg jadi hp gara eh cabang bukan buka bsb blokir bikin aktivasi;3.0;1.0
315;315;tidak terang sumpah paket lelet internet beli banyak aplikasi;0.0;1.0
316;316;uang transfer telpon sumsel saldo qris pake nyata nya mohon mau langsung gagal csnya bca bayar bank babel aplikasi;0.0;1.0
317;317;yang tetep tapi selalu mudah minta mesti malah gagal buruk bukan bolak bank balik aplikasi aktivasi;3.0;1.0
318;318;yang terus terlalu sistem sering ribet restart parah paham orang masa maksimal kartu hp guna error dikit buat banking aplikasi akun aktivasi;0.0;1.0
319;319;tiba temu suruh sudah repot logout data bikin akun aktifasi aktif aja;3.0;1.0
320;320;terlalu skrng sering msh kali ganggu eror;3.0;2.0
321;321;yang udah sangat saat kurang gin canggih butuh bsb bank baik aplikasi aja;0.0;1.0
322;322;sumsel suka sekali babel;3.0;5.0
323;323;transfer tolong sumsel sistem repot pagi nasabah masuk jgn jg gimana dengan buat bank baik;3.0;1.0
324;324;ulang sering selalu sekali sandi salah pernah padahal minta masuk kata id buka aktivasi;3.0;1.0
325;325;sekarang ribet praktis mutu mudah malah lebih kok harus gak coba bank baik aplikasi;0.0;1.0
326;326;yang usah udah transaksi saran pertama pake otp nunggu mending masuk lama kode kali kalau gak bukan banget aja;3.0;1.0
327;327;layan cabang baru bagus;3.0;5.0
328;328;terus sudah sering sendiri selesai salah pdhal password mulai mana lama kantor kalo ganti cabang bru banget antri aktivasi;3.0;2.0
330;330;yang ribet jam;3.0;1.0
331;331;nomor mau lepas kartu hp blokir app akun aja;3.0;1.0
332;332;transfer tidak terang segala pernah pake otp nunggu mau mana lama email dulu bank banget antar;3.0;1.0
333;333;sangat puas;1.0;5.0
334;334;good;1.0;5.0
335;335;transfer tpi tidak tau sekarang sedot saldo pikir pa mau jadi gopay eror eh bsb bakal aneh aku;3.0;1.0
336;336;bnyak aplikasi;0.0;1.0
337;337;ribet lancar;3.0;4.0
338;338;suka kasih kalau bintang baik aku;3.0;4.0
339;339;voucher transaksi tambah sih saldo pulsa mesti masuk kurang kalo jangan isi gimana eror aplikasi;3.0;1.0
340;340;tidak terus masalah kemarin bug;3.0;1.0
341;341;update untuk tulis transaksi tidak tapi sy suruh sudah sering selalu sangat saldo pesan pdhal mutu muas mohon mobile maaf layan lapor lanjut laku krn kenapa kasih ikut gagal debet data daerah bukti buka bsb blokir bintang belum bank bahkan aplikasi alami aktivasi akhir;3.0;1.0
342;342;ulang lebih aman;3.0;5.0
343;343;transaksi top status sekarang saldo qris potong gopay gagal;3.0;1.0
344;344;waktu transaksi sedot saldo pulsa pake mobile minggu lama kembali kalo kali dana center call buruk berapa banking banget;3.0;1.0
345;345;yang update ulang tidak terus sumsel satu sama masak log lebih lagi kalah hr hp hari gak eror dong dari baru bank aplikasi aktivasi;0.0;1.0
346;346;sangat bantu;1.0;5.0
347;347;tulis saldo malam eror buka;3.0;3.0
348;348;aplikasi;0.0;1.0
349;349;ulang suruh sm pa mau kecewa buka aplikasi aktivasi;0.0;1.0
350;350;yang top terimakasih sumsel selalu pilih perlu otomatis nasabah maju kan dulu banyak bank bangking bagus;3.0;5.0
351;351;paling lot bank;3.0;1.0
352;352;tingkat respon fast aplikasi aman;0.0;5.0
353;353;update tidak sedia rekening nomor msh mau lgi layan lama lagi kali kalau cuman call bolak blum baru bank balik baik baharu aktivasi;3.0;1.0
354;354;tambah menu;3.0;5.0
355;355;transaksi minta lama jam informasi bug buat banyak bagus atas aplikasi aktifitas;0.0;5.0
356;356;yang transaksi sekarang riwayat mohon lumayan kredit debit bawah banyak bagus aplikasi;0.0;5.0
357;357;sama mau aktivasi;3.0;1.0
358;358;good;1.0;5.0
359;359;yang transaksi terimakasih sering mudah lupa kartu karna buat atm aku;3.0;5.0
361;361;sumselbabel saldo qris potong pakai kerja kembali jt ini hati gagal dana cepat blm balik aja;3.0;1.0
362;362;tidak ribet pakai padahal nomor minta mau malah login hp hari guna doang deteksi cuman bukak berapa aplikasi aktivasi aktif aja;3.0;1.0
363;363;yang tidak terus solusi sinyal sim sendiri ribet kayak kartu internet hilang gimana gara dulu dong dari cuma buka blokir biar bank banget;3.0;2.0
364;364;ulang tiba tetap terus terlalu terima terang temu tanya tanggung sedia ribet rekening nomor mobile masuk kasih kartu kantor jawab jangan guna fasilitas dong data bsb apa aktivasi;3.0;1.0
365;365;bank baik;2.0;5.0
366;366;suka;3.0;5.0
367;367;solusi ribet mau kartu kalo hp coba buat bolak bank balik atau;3.0;1.0
368;368;tempat sumsel sampah sama rata nasabah masalah login lalu kartu jangan jadi ikut ganti buang bank babel atm atau ambil aktipasi;3.0;5.0
369;369;selesai salah password minta masuk mana malah kerja keluar jadi ingat id dekat blokir benar aktipasi;3.0;1.0
370;370;yang versi uang rekening pemberitahuan pakai nama masuk lengkap kirim bos;3.0;4.0
371;371;buka;3.0;1.0
