;text;cluster;score
117;bagus;1;4
118;sering masalah;3;1
119;sangat lengkap fitur bantu aplikasi;1;5
120;transaksi mudah mana;1;5
121;transaksi sangat mudah dannyaman bantu aman;1;5
122;via untung terimakasih telpon tarik sering ribet ramah praktis otp mudah mbanking masalah lihat lebih keren kelas fitur dong center call blokir aplikasi;3;5
123;satu ganggu dulu;3;1
124;transaksi sangat mudah moga makin lancar jaya bantu aplikasi;1;5
125;transaksi sangat mobile bsb bantu aman;1;5
126;udah tapi perlu padahal mudah mana lancar lagi kurang internet ganggu deh bsb besar baik aplikasi aja;3;1
127;transaksi mudah mana cepat bagus;1;5
128;update udah ubah tambah saldo qris potong parah nyata kata gagal banyak;3;1
129;transaksi saldo pulsa potong mau masuk laku kirim kalau bukti beli bayar;3;4
130;yang update ulang ujung salah rating pihak perintah minggu mau login kembang kemarin kasih kalau hari gimana dong bulan buka blokir baru aplikasi aktivasi;0;1
131;jadi izin gimana butuh aplikasi ak;0;3
132;susah stabil sinyal masuk kok kata jaring gak bagus;3;3
133;rasa bank aplikasi;0;1
134;siap mulu login koneksi kek gagal aplikasi;0;4
135;selalu masuk lama jaring bagus aplikasi;0;1
136;wifi uda tetap sumsel pihak pake padahal login lancar kok jelek jaring coba buka bank baik babel aplikasi ala aja;0;1
137;sering eror;3;1
138;oke;3;5
139;mulu eror;3;1
140;ulang terus ribet mau masa mana dulu bank aktivasi;3;1
141;waktu uang transfer tidak tapi saldo ribu masuk kurang ku eror;3;1
142;ulang satu padahal minggu mbanking masa lama lalu buat baru aktivasi;3;1
143;terus selalu minta aktivasi;3;4
144;terus sumsel sudah sendiri saldo pulsa masuk lewat lah kurang kok isi gin eror blokir banking bangking bakal baik atmnya;3;1
145;terus terlalu sumsel simple otpnya lebih kalau jgn banyak baik aplikasi;2;5
146;transfer tapi prose pake nunggu mau malah layan lama krna kerja kalau hr gaji debit buruk babel atm;3;1
147;usah transaksi sering salah pikir perangkat pegawai narik minggu mau makan lihat lagi kasih kalo kalau jelas jam jalan ini gaji butuh buka bsb blokir bank banget ayo aplikasi apa ambil aku;3;1
148;yang via suka ribet pergi orang online lain kayak jadi gak donk coba buat blokir banking bank aktivasi;3;3
149;transaksi malam hari gagal;3;1
150;uninstal sy sudah simcard jadi gara cuma buka blokir aplikasi;0;1
151;sukses selalu moga;3;5
152;yang tidak sumsel sama saldo pemberitahuan padahal pa muas mobile masuk lepas kurang kartu kali hp dong daftar banking baik babel atau akun aktivasi;3;1
153;sangat bantu;1;4
154;mantap;1;5
155;good;1;5
156;sangat puas pakai mbanking;1;5
157;mantap;1;5
158;wifi transaksi tiap sumsel sm signal sekali sayang sama ribet percuma pake otp kan jelek jadi gak dipake depan daerah coba buka banyak banking baik bahkan;3;1
159;tiba pa gak gaji buka blokir aplikasi apa aja;0;1
160;baik;2;5
161;transaksi sangat mudah;1;5
162;tim tiba sumsel sistem sinyal sih sekali saldo mudah mau masa login lah gara dulu cek blokir benerin bank babel aplikasi akun;3;1
163;mantap;1;5
164;transaksi mana lancar kapan;3;5
165;transaksi sekali sangat bantu;1;5
166;sm pa otp masukin malah langsung kode blokir;3;3
167;sangat praktis bantu;1;5
168;sangat bantu;1;5
169;ngak listrik bayar;3;3
170;;3;
171;transaksi top sumsel pulsa pay memang isi go bantu bank babel aplikasi;3;5
172;skrng mudah lebih fast bi ada;3;5
173;transaksi seluruh mudah lengkap gampang dlm butuh aplikasi;0;5
174;yang uang transfer suruh sumsel sangat saldo potong pihak pertama nunggu malah kerja kembali kecewa kali jujur jadi hari guna gagal fast bi baru bank babel;3;1
175;simpel sangat prose mudah guna fiturnya bantu aplikasi;1;5
176;mantap kali;1;5
177;tidak tanya tadi sudah saldo pulsa pesan nomor masuk malah lewat kurang kak gimana erorr email dong beli bangking baik baca;3;2
178;transaksi sangat rumah repot mudah laku keluar bantu bagai aplikasi;1;5
179;sangat muas;1;5
180;baik;2;5
181;lancar jauh jalan;3;5
182;mantap luar biasa aplikasi;0;5
183;transaksi mudah;1;5
184;;3;
185;;3;
186;;3;
187;transaksi gua bank;3;5
188;;3;
189;;3;
190;transaksi terima sumsel mudah kasih bank babel;1;5
191;mbankingnya makin baik;2;5
192;sangat baik;2;5
193;sangat mudah muas guna;1;5
194;oke;3;5
195;sangat mudah muas mantab guna bsb;1;5
196;mantab bsb;3;5
197;transaksi sangat mudah muas lebih laku;1;5
198;bagus;1;5
199;untuk transaksi sangat mudah bagus;1;5
200;transaksi mudah;1;5
201;;3;
202;udah tiba suruh sekian ribet mudah malah kode kali jadi isi bukan bolak blokir bank balik aktivasi;3;1
203;sumsel sekali sangat palembang ku bank aman;3;5
204;transfer tolol super selalu ribet palembang malu login kelas kayak gagal bobrok bank aplikasi aktivasi;0;1
205;bagus;1;5
206;tidak terus sumsel soal pake padahal mbanking login kemarin hp gak dekat cuman cabang buka blokir bank babel aplikasi aneh aman aja;3;1
207;uang tulis terus tabung sering sekali sangat sama rugi ribu pulsa potong nyata nasabah masuk malah lewat layan kok kali kalau jadi hilang gagal eror coba biaya beli aplikasi admin;3;1
208;ulang tidak terang sedia pacak pa muncul minta malah log lah hari gara blokir baru bank aktivasi;3;1
209;untuk tinggal terus sudah sangat sama minta masa lain kode jauh bank babel aplikasi aktivasinya aktivasi;3;1
210;update ulang tidak samsung perangkat padahal nali muncul min ingat hp ganti buat bolak blokir bank balik baik akun aktivasi;3;4
211;transaksi tinggal telpon saran sangat saldo salah rugi potong mobile melulu manual malah lebih kembali kali jadi guna canggih bank baik aplikasi;0;1
212;sistem sering mohon jaring eror blokir baik;2;1
213;lengkap fitur;3;5
214;ulang tiap sangat otomatis mau login kalo kali buruk blokir bank aktivasi;3;1
215;sumsel mobile minta masuk gak aktivasinya;3;5
216;sangat buruk;1;1
217;yang user ulang transfer tampil susah silah sangat pa notifikasi muncul mudah menu mau malah mahal login lihat langsung jelek buruk buka blokir biaya bank aplikasi antar aktivitas aktivasi admin;3;1
218;transaksi tolol saldo potong malah gagal aplikasi;0;1
219;sulit mohon masuk bantu akun;3;5
220;tidak terus terlalu suka sudah soal ribet otp org moga lelet lebih lagi kembang kasih kalau banyak baik aplikasi;3;3
221;tutup sekarang mohon hari buka blokir baru baik aplikasi apa;0;1
222;sistem jelek aplikasi;0;1
223;;3;
224;terus eror;3;1
225;sering kenapa eror;3;3
226;terus susah semua sangat perangkat padahal nali minta mau malah kali data buka benar aplikasi aktivasi;3;1
227;yang saldo pulsa malah kurang beli aplikasi;3;1
228;ulang transfer susah sm ribet otp mau masuk kode kali gak emosi aja ada;3;3
229;ulang terus capek aktivasi;3;1
230;wifi transfer terus perintah padahal memang koneksi kelas jadi internet guna gagal cek buat banget aplikasi ala;3;1
231;;3;
232;selalu sekali masalah lancar koneksi jaring gilir baik aplikasi aman;0;1
233;tingkat sering sangat perlu layan kurang eror banking;3;1
234;tunai tarik moga kartu fitur;3;5
235;ribet mending bca bank aplikasi aja;0;1
236;walaupun user ulang tidak sudah sm selalu minta masuk kode gilir friendly bener aplikasi aktivasi;0;1
237;tiap tau sumsel sekarang pindah padahal mudah minggu mesti masa gak buka blokir bank banget baik;3;1
238;tak maksimal layan;3;1
239;pakai login betul bank;3;3
240;tolol gak aplikasi;0;1
241;udah pake masa mana login jauh jam iya id guna gak butuh bulan bolak bikin baru bank balik;3;2
242;tulis tabung susah sih sedia punya pertama pakai mau lah keluar kali gimana gampang gak daftar buku baru bank banget atm aplikasi aktivasi aja;3;1
243;tuh transfer sih rugi ribet pilih mulu mau loading lalu kalau hapus fast bikin bi bank aj;3;1
244;ulang udah terus sendiri malah keluar gabisa dikit blokir anehh ampun aktif;3;1
245;bagus aplikasi;0;5
246;mantap;1;5
247;good;1;5
248;terus susah skrg pa masuk malah kata kali gak buat bsa blokir apa;3;3
249;susah repot pakai mudah mbanking mahal kerja karna kalau guna gak dah buruk bukan blokir bikin biaya banget aplikasi ala admin;3;1
250;transfer terus sumpah sulit segala pesan mau eror apa aja;3;1
251;terus susah minta gagal aktivasi aja;3;1
252;bsb;3;5
253;transfer susah rekening minta mau baru ampun aja;3;1
254;yang uninstal ulang udah tidak terus sudah segera satu padahal minggu lewat jg instal guna dong dari bsb baru baik aplikasi;0;5
255;ini banget aplikasi;0;1
256;voucher transaksi tak tahu sm sekali sama saldo rasa pulsa potong pergi notif masuk makin laku kurang jadi gagal eror cek bsb bobrok beli apa;3;1
257;ulang sumselbabel sini sekarang sangat online mungkin mudah mbanking laku kendala karna kantor jauh harap blokir bank aktivasi;3;2
258;smga;3;5
259;sulit guna;3;1
260;wallet transfer top simpel rekening online mudah moga min lengkap lebih gratis fitur buka bagus aplikasi;3;5
261;uang tutup sih parah padahal mobile mending masak keluar kayak kalian iya guna gin dikit daerah besar bener bankingnya bank aplikasi aja;0;1
262;yang wa uninstal sumsel sering mungkin masuk maaf bank babel aplikasi;3;5
263;ulang tidak tetap terus selalu mintak laku kesal bikin aktivasi;3;1
264;selalu sedia ribet kendala aktivasi;3;1
265;berat;3;1
266;ulang tapi sumsel sedia minta lah kata banking baik ayo aktivasi;3;1
267;suruh pa mbanking mau ingat buka aktivasi;3;1
268;yang urus udah uang tunai transaksi tidak terus tarik sering sama saldo repot qris pake maupun lapor kurang kualitas keluar kantor jauh guna error dlu bnyk bank banget baik;3;1
269;yang untuk transfer sy sudah rek mau masuk kecewa gaji bank apa;3;1
270;sumsel sama nih kesel;3;1
271;ulang tpi tingkat terus teblokir susah sering sedikit sangat saldo rugi pulsa potong masuk login lgi jelas gak emang buruk aplikasi;0;1
272;sih saldo padahal kok kek gin gak apknya;3;2
273;ulang sumsel suka selalu sangat repot minta luar kesel kendala butuh aktivasi;3;2
274;ulang transaksi tidak tetep tapi sy sulit sudah sm slalu selalu sekarang pake padahal pa ny nomor msh mohon mnta masuk lewat krn kok kode kenapa kemaren kecewa kartu jg jd hp gaji dulu daftar coba buat bsb bener bantu bank app aplikasi aktivasi;3;2
275;mbankingnya mbanking kualitas cuma buruk bank;3;1
276;terus sekali penting pdahal;3;1
277;ulang registrasi mulu mintak mau kalo kali jgn error buka baik aplikasi;0;1
278;yang top sudah saldo rugi potong mobile masuk malah lewat gak dong dana bsb benar aplikasi aja;3;1
279;mohon log baik;2;5
280;ulang udah suruh password pa mau login gimana benar aktivasi;3;1
281;suka eror;3;2
282;jelek;3;5
283;bug;3;1
284;sekarang fitur fast canggih bsb bi best;3;5
285;sumsel babel;3;5
286;bos;3;5
287;aktivasi;3;1
288;susah mau banget aktivasi;3;1
289;transfer saldo saat potong malah liat kembali jadi eror bukti atm;3;1
290;udah teblokir selalu minggu lgi jelas gak gagal cuma blokir bikin bank aplikasi;0;1
291;rek registrasi pa nomor mau daftar;3;1
292;tidak ribet malah login ganti buat;3;1
293;mudah lancar ak;3;5
294;uang tidak tiba tabung susah sistem server sering pernah paling mbanking masalah mana layan kesal jelek jadi hubung ganggu error bikin beres banyak banget;3;1
295;transaksi terus sering saldo pulsa potong padahal masuk laku jaring jadi isi eror aman;3;2
296;transaksi terus error beli;3;1
297;yang user urus ulang transaksi tidak sy suruh stabil sinyal selesai sama rekening pernah perangkat pake padahal minggu mau masuk lama laku kemudian kemarin kali kalau jelek jaring guna gaji bukan blokir blm benar beda bank aktivasi;3;1
298;waktu ulang ujung sekali sayang sangat saldo padahal malah guna error cek butuh banyak aktivasi;3;1
299;waktu ulang terus sering satu rumah mau mandiri mana makan kalau jangan jam gak dong bulan bank aktivasi;3;1
300;udah suka sendiri pa malah jelas ilang id guna gak eror data banget aplikasi;0;1
301;sering male jadi error;3;1
302;sudah solusi pernah otp nomor hari gimana gak;3;4
303;selalu blokir aktivasi;3;1
304;untuk tidak sih pln masa bayar aja;3;3
305;transaksi tidak tetap solusi sini sering sekali segera saldo rugi rasa potong nasabah kembali kali kalau jangan jadi gagal error biaya berapa baik admin;3;1
306;sangat muas;1;5
307;wallet transfer top sumsel rekening palembang mudah moga gratis cepat buka bank bagus babel aplikasi akhir;3;5
308;ulang temu solusi nih muncul minta min mau malah login jadi gimana diaktivasi data aktivasi;3;1
309;transfer transaksi terimakasih semua sangat lancar gopay bsb bantu;1;5
310;susah suruh sekali sedia orang mulu mudah mobile mau malah kali gimana gak bukan baru bank app aktivasi;3;1
311;mantap;1;5
312;ulang ribet minta mandiri jalan bulan beda banget atm aktivasi;3;2
313;ulang sim sering mohon lepas kartu blokir baik akun aktivasi;3;2
314;via user update ulang tidak tapi repot perangkat parah pake padahal pa online nama nali mobile minta mau mana malah layan lama kata kantor jg jadi hp gara eh cabang bukan buka bsb blokir bikin aktivasi;3;1
315;tidak terang sumpah paket lelet internet beli banyak aplikasi;0;1
316;uang transfer telpon sumsel saldo qris pake nyata nya mohon mau langsung gagal csnya bca bayar bank babel aplikasi;0;1
317;yang tetep tapi selalu mudah minta mesti malah gagal buruk bukan bolak bank balik aplikasi aktivasi;3;1
318;yang terus terlalu sistem sering ribet restart parah paham orang masa maksimal kartu hp guna error dikit buat banking aplikasi akun aktivasi;0;1
319;tiba temu suruh sudah repot logout data bikin akun aktifasi aktif aja;3;1
320;terlalu skrng sering msh kali ganggu eror;3;2
321;yang udah sangat saat kurang gin canggih butuh bsb bank baik aplikasi aja;0;1
322;sumsel suka sekali babel;3;5
323;transfer tolong sumsel sistem repot pagi nasabah masuk jgn jg gimana dengan buat bank baik;3;1
324;ulang sering selalu sekali sandi salah pernah padahal minta masuk kata id buka aktivasi;3;1
325;sekarang ribet praktis mutu mudah malah lebih kok harus gak coba bank baik aplikasi;0;1
326;yang usah udah transaksi saran pertama pake otp nunggu mending masuk lama kode kali kalau gak bukan banget aja;3;1
327;layan cabang baru bagus;3;5
328;terus sudah sering sendiri selesai salah pdhal password mulai mana lama kantor kalo ganti cabang bru banget antri aktivasi;3;2
329;;3;
330;yang ribet jam;3;1
331;nomor mau lepas kartu hp blokir app akun aja;3;1
332;transfer tidak terang segala pernah pake otp nunggu mau mana lama email dulu bank banget antar;3;1
333;sangat puas;1;5
334;good;1;5
335;transfer tpi tidak tau sekarang sedot saldo pikir pa mau jadi gopay eror eh bsb bakal aneh aku;3;1
336;bnyak aplikasi;0;1
337;ribet lancar;3;4
338;suka kasih kalau bintang baik aku;3;4
339;voucher transaksi tambah sih saldo pulsa mesti masuk kurang kalo jangan isi gimana eror aplikasi;3;1
340;tidak terus masalah kemarin bug;3;1
341;update untuk tulis transaksi tidak tapi sy suruh sudah sering selalu sangat saldo pesan pdhal mutu muas mohon mobile maaf layan lapor lanjut laku krn kenapa kasih ikut gagal debet data daerah bukti buka bsb blokir bintang belum bank bahkan aplikasi alami aktivasi akhir;3;1
342;ulang lebih aman;3;5
343;transaksi top status sekarang saldo qris potong gopay gagal;3;1
344;waktu transaksi sedot saldo pulsa pake mobile minggu lama kembali kalo kali dana center call buruk berapa banking banget;3;1
345;yang update ulang tidak terus sumsel satu sama masak log lebih lagi kalah hr hp hari gak eror dong dari baru bank aplikasi aktivasi;0;1
346;sangat bantu;1;5
347;tulis saldo malam eror buka;3;3
348;aplikasi;0;1
349;ulang suruh sm pa mau kecewa buka aplikasi aktivasi;0;1
350;yang top terimakasih sumsel selalu pilih perlu otomatis nasabah maju kan dulu banyak bank bangking bagus;3;5
351;paling lot bank;3;1
352;tingkat respon fast aplikasi aman;0;5
353;update tidak sedia rekening nomor msh mau lgi layan lama lagi kali kalau cuman call bolak blum baru bank balik baik baharu aktivasi;3;1
354;tambah menu;3;5
355;transaksi minta lama jam informasi bug buat banyak bagus atas aplikasi aktifitas;0;5
356;yang transaksi sekarang riwayat mohon lumayan kredit debit bawah banyak bagus aplikasi;0;5
357;sama mau aktivasi;3;1
358;good;1;5
359;yang transaksi terimakasih sering mudah lupa kartu karna buat atm aku;3;5
360;;3;
361;sumselbabel saldo qris potong pakai kerja kembali jt ini hati gagal dana cepat blm balik aja;3;1
362;tidak ribet pakai padahal nomor minta mau malah login hp hari guna doang deteksi cuman bukak berapa aplikasi aktivasi aktif aja;3;1
363;yang tidak terus solusi sinyal sim sendiri ribet kayak kartu internet hilang gimana gara dulu dong dari cuma buka blokir biar bank banget;3;2
364;ulang tiba tetap terus terlalu terima terang temu tanya tanggung sedia ribet rekening nomor mobile masuk kasih kartu kantor jawab jangan guna fasilitas dong data bsb apa aktivasi;3;1
365;bank baik;2;5
366;suka;3;5
367;solusi ribet mau kartu kalo hp coba buat bolak bank balik atau;3;1
368;tempat sumsel sampah sama rata nasabah masalah login lalu kartu jangan jadi ikut ganti buang bank babel atm atau ambil aktipasi;3;5
369;selesai salah password minta masuk mana malah kerja keluar jadi ingat id dekat blokir benar aktipasi;3;1
370;yang versi uang rekening pemberitahuan pakai nama masuk lengkap kirim bos;3;4
371;buka;3;1
372;ulang sedia parah pa malah login gak aktivasi;3;3
373;terus paling minta jelek bank aplikasi aktivasi;0;1
374;oke;3;5
375;rumah aman;3;5
376;tinggal sedikit baik bagus aplikasi;2;5
377;selalu hati bsb;3;5
378;sangat bantu;1;5
379;transaksi sangat mudah mobile fitur bsb baru banyak bantu;1;5
380;mantap betul;1;5
381;yang sangat mudah lebih dukung bener aplikasi apa;0;5
382;transaksi sangat pasu otp orang minim bantu aplikasi aman;1;5
383;tidak buka;3;1
384;yang utama transfer top sangat pulsa isi bantu banget aplikasi;1;5
385;mudah guna aplikasi;0;5
386;sangat bantu;1;5
387;untuk transaksi sangat perban bantu;1;5
388;transaksi suka mudah mau banget;3;5
389;transaksi sangat mudah bantu;1;5
390;;3;
391;transfer transaksi mudah laku bayar aplikasi;0;5
392;versi tingkat terimakasih mohon hp ganti baru aplikasi aktivasi;0;5
393;yang untk transaksi terimakasih sumsel simple sangat paham mudah muda mobile era ber bantu bank baik babel aplikasi;1;5
394;transfer transaksi semua sekarang qris mudah lalu laku era digital bayar banyak;3;5
395;yang tinggal tiap tahun selesai satu sangat salah qris mudah mobile langsung laku guna daerah cepat banyak banking bank baik aman;3;5
396;transaksi sangat laku guna;1;5
397;update udah makin fasilitas banyak;3;5
398;ujung tingkat terus teblokir selalu ny nak mutu banking aktivasi;3;1
399;sangat bantu;1;5
400;transaksi perban mudah laku;1;5
401;transaksi sangat bantu aplikasi;1;5
402;transaksi butuh bantu aplikasi;1;5
403;transaksi sangat bantu;1;5
404;keren;3;5
405;sangat ribet baik aman;2;5
406;transaksi mobile bsb ada;1;5
407;transaksi sangat saldo rasa online mudah mbanking lambat laku lain kadang guna ganggu fitur buat beri bata baru bantu bank aplikasi aman alam;1;5
408;transaksi sangat mudah;1;5
409;keren baik bagus aplikasi;2;5
410;keren;3;5
411;transaksi perban mudah luar lebih jam;1;5
412;sangat baik;2;5
413;bsb;3;5
414;sangat jaya bsb bantu;1;
415;transaksi mudah mobile kapan bsb bantu banking aplikasi;0;5
416;transaksi mudah mobile lebih jadi banking atm ada;1;5
417;ulang ujung sulit sekali sama salah padahal mudah minta malah login bukan bolak blokir bank balik aktivasi;3;1
418;transaksi mudah keren;1;5
419;ulang rumah ribet paling mau masalah kalau jauh hp gak dulu bsb belah bank aplikasi apa aktivasi aja;3;3
420;yang sangat pulsa nominal mudah beli;1;3
421;ulang tiap terus buka aplikasi aktivasi;0;1
422;untk otp mudah lebih klu hapus depan biar bayar banyak aplikasi;0;5
423;mudah bagus;1;5
424;transaksi simple sangat lebih jadi bantu bagai aplikasi;1;5
425;simple mudah guna;1;5
426;mantap;1;5
427;sangat bantu;1;5
428;ulang suruh salah password banget aktivasi;3;1
429;transaksi simple sangat ribet perlu manfaat bantu atm aplikasi;1;5
430;transaksi terlalu sering saldo rugi pulsa parah nominal kembali jadi isi gagal butuh bug biaya banyak baik aplikasi admin;3;1
431;update sering sendiri kualitas blokir baik akun;3;1
432;yah sukses selalu sekali sangat guna aplikasi;0;5
433;token sedia pln moga listrik beli bayar;3;4
434;yang tidak terus pa mnta mau masukin lgi kena kartu gak cuma buka buat blokir bagus aplikasiny aplikasi aktivasi;3;1
435;yang sumselbabel status selalu samsung mohon mbanking masuk hp blokir bantu aplikasi alami;3;2
436;transaksi tidak terang sistem saldo pulsa potong nyata mau jdi isi error email dong cek baik;3;1
437;sangat muas;1;5
438;transfer manfaat;3;5
439;yang sangat bantu aplikasi aman;1;5
440;sering perlu mungkin lelet keluh ganti error developer banyak aplikasi;0;1
441;transaksi mudah;1;5
442;sangat kerja hari bantu;1;5
443;udah sih ribet registrasi padahal otp nomor mau masuk kode kali gimana gak coba buruk banget aktif;3;1
444;terus minta mesti bank aktivasi;3;1
445;sangat perban layan bantu aplikasi;1;5
446;tiap terus sedia minta kali jawab gila gak diaktivasi buka benar aplikasi aktivasi;0;2
447;transaksi sangat bantu;1;5
448;saldo mudah cek;3;5
449;pakai layan cepat baik;2;5
450;transaksi tingkat sama mudah dlm bsb bantu bank;1;5
451;transaksi tinggal sangat mudah kota jauh;1;5
452;guna baik;2;5
453;uang sangat bantu aplikasi;1;5
